,Month,Coconut Oil Price,Coconut Oil Consumption(mil tonnes),Coconut Oil Price Change,Olive Oil Price,Olive Oil Consumption(mil tonnes),Olive Oil Price Change,Palm Kernel Oil Price,Palm Kernel Oil Consumption(mil tonnes),Palm Kernel Oil Price Change,Palm Oil Price,Palm Oil Consumption(mil tonnes),Palm Oil Price Change,Peanut Oil Price,Peanut Oil Consumption(mil tonnes),Peanut Oil Price Change,Rapeseed Oil Price,Rapeseed Oil Consumption(mil tonnes),Rapeseed Oil Price Change,Soybean Oil Price,Soybean Oil Consumption(mil tonnes),Soybean Oil Price Change,Sunflower Oil Price,Sunflower Oil Consumption(mil tonnes),Sunflower Oil Price Change
14,Aug-14,"1,187.62",3.29,-5.39%,"3,963.79",2.65,3.75%,938.81,7.21,-15.14%,778.69,57.9,-8.79%,"1,388.91",5.37,1.13%,851.75,27.04,-4.52%,861.77,47.73,-3.97%,853.75,14.11,-5.98%
14,Sep-14,"1,193.41",3.29,0.49%,"3,997.12",2.65,0.84%,904.55,7.21,-3.65%,760.75,57.9,-2.30%,"1,388.91",5.37,0.00%,836.46,27.04,-1.80%,839.82,47.73,-2.55%,834.09,14.11,-2.30%
14,Oct-14,"1,148.70",3.29,-3.75%,"3,811.73",2.65,-4.64%,936.09,7.21,3.49%,764.4,57.9,0.48%,"1,388.91",5.37,0.00%,859.11,27.04,2.71%,833.03,47.73,-0.81%,888.26,14.11,6.49%
14,Nov-14,"1,191.63",3.29,3.74%,"4,065.10",2.65,6.65%,970,7.21,3.62%,764.75,57.9,0.05%,"1,388.91",5.37,0.00%,841.33,27.04,-2.07%,825.98,47.73,-0.85%,922.75,14.11,3.88%
14,Dec-14,"1,212.14",3.29,1.72%,"4,234.51",2.65,4.17%,972.26,7.21,0.23%,719.64,57.9,-5.90%,"1,372.88",5.37,-1.15%,814.81,27.04,-3.15%,814.55,47.73,-1.38%,900.95,14.11,-2.36%
15,Jan-15,"1,145.71",3.24,-5.48%,"4,128.51",2.81,-2.50%,"1,010.48",7.00,3.93%,719.64,59.38,0.00%,"1,350.33",5.41,-1.64%,777.72,28.27,-4.55%,796.58,52.09,-2.21%,870.71,15.02,-3.36%
15,Feb-15,"1,160.50",3.24,1.29%,"4,169.56",2.81,0.99%,"1,052.37",7.00,4.15%,723.04,59.38,0.47%,"1,344.82",5.41,-0.41%,762.51,28.27,-1.96%,762.61,52.09,-4.26%,825,15.02,-5.25%
15,Mar-15,"1,090.68",3.24,-6.02%,"3,933.60",2.81,-5.66%,"1,020.80",7.00,-3.00%,698.86,59.38,-3.34%,"1,344.82",5.41,0.00%,751.16,28.27,-1.49%,749.93,52.09,-1.66%,804.55,15.02,-2.48%
15,Apr-15,"1,077.50",3.24,-1.21%,"3,996.58",2.81,1.60%,979.75,7.00,-4.02%,682.75,59.38,-2.31%,"1,344.82",5.41,0.00%,747.72,28.27,-0.46%,747.74,52.09,-0.29%,833.5,15.02,3.60%
15,May-15,"1,131.94",3.24,5.05%,"4,305.33",2.81,7.73%,962.06,7.00,-1.81%,697.35,59.38,2.14%,"1,344.82",5.41,0.00%,769.95,28.27,2.97%,785.13,52.09,5.00%,916.05,15.02,9.90%
15,Jun-15,"1,123.64",3.24,-0.73%,"4,347.30",2.81,0.97%,914.43,7.00,-4.95%,705.91,59.38,1.23%,"1,365.86",5.41,1.56%,841.79,28.27,9.33%,788.21,52.09,0.39%,927.95,15.02,1.30%
15,Jul-15,"1,103.04",3.24,-1.83%,"4,487.72",2.81,3.23%,869.13,7.00,-4.95%,680,59.38,-3.67%,"1,388.91",5.41,1.69%,809.98,28.27,-3.78%,752.32,52.09,-4.55%,917.39,15.02,-1.14%
15,Aug-15,"1,032.38",3.24,-6.41%,"5,045.80",2.81,12.44%,735.48,7.00,-15.38%,601.38,59.38,-11.56%,"1,392.06",5.41,0.23%,753.56,28.27,-6.97%,728.33,52.09,-3.19%,894.75,15.02,-2.47%
15,Sep-15,"1,051.59",3.24,1.86%,"4,986.87",2.81,-1.17%,799.66,7.00,8.73%,599.5,59.38,-0.31%,"1,399.94",5.41,0.57%,771.69,28.27,2.41%,720.4,52.09,-1.09%,896.82,15.02,0.23%
15,Oct-15,"1,104.09",3.24,4.99%,"4,544.50",2.81,-8.87%,857.73,7.00,7.26%,636.67,59.38,6.20%,"1,399.94",5.41,0.00%,809.13,28.27,4.85%,743.3,52.09,3.18%,961.59,15.02,7.22%
15,Nov-15,"1,071.07",3.24,-2.99%,"3,910.36",2.81,-13.95%,788.75,7.00,-8.04%,608.21,59.38,-4.47%,"1,413.16",5.41,0.94%,799.62,28.27,-1.18%,727.34,52.09,-2.15%,915.24,15.02,-4.82%
15,Dec-15,"1,150.00",3.24,7.37%,"3,657.89",2.81,-6.46%,849.55,7.00,7.71%,607.38,59.38,-0.14%,"1,446.03",5.41,2.33%,820.94,28.27,2.67%,765.7,52.09,5.27%,898.18,15.02,-1.86%
16,Jan-16,"1,152.00",3.21,0.17%,"3,976.43",2.73,8.71%,895.63,7.25,5.42%,611.63,61.48,0.70%,"1,359.90",5.56,-5.96%,781.35,28.81,-4.82%,736.03,53.43,-3.87%,885.35,16.22,-1.43%
16,Feb-16,"1,218.93",3.21,5.81%,"4,233.44",2.73,6.46%,986.9,7.25,10.19%,679.17,61.48,11.04%,"1,317.26",5.56,-3.14%,779.88,28.81,-0.19%,767.24,53.43,4.24%,898.19,16.22,1.45%
16,Mar-16,"1,440.48",3.21,18.18%,"4,047.26",2.73,-4.40%,"1,210.60",7.25,22.67%,715.95,61.48,5.42%,"1,300.73",5.56,-1.25%,766.26,28.81,-1.75%,765.61,53.43,-0.21%,859.19,16.22,-4.34%
16,Apr-16,"1,580.95",3.21,9.75%,"4,024.21",2.73,-0.57%,"1,299.05",7.25,7.31%,775,61.48,8.25%,"1,314.38",5.56,1.05%,808.51,28.81,5.51%,794.13,53.43,3.73%,875.95,16.22,1.95%
16,May-16,"1,439.50",3.21,-8.95%,"3,858.02",2.73,-4.13%,"1,218.25",7.25,-6.22%,753.42,61.48,-2.78%,"1,322.77",5.56,0.64%,805.59,28.81,-0.36%,795.64,53.43,0.19%,881,16.22,0.58%
16,Jun-16,"1,547.95",3.21,7.53%,"3,810.28",2.73,-1.24%,"1,337.27",7.25,9.77%,718.18,61.48,-4.68%,"1,365.86",5.56,3.26%,793.48,28.81,-1.50%,799.91,53.43,0.54%,860.23,16.22,-2.36%
16,Jul-16,"1,515.00",3.21,-2.13%,"3,890.98",2.73,2.12%,"1,290.00",7.25,-3.53%,678.16,61.48,-5.57%,"1,415.37",5.56,3.62%,767.83,28.81,-3.23%,796.67,53.43,-0.41%,832.86,16.22,-3.18%
16,Aug-16,"1,575.00",3.21,3.96%,"3,982.15",2.73,2.34%,"1,423.70",7.25,10.36%,771.02,61.48,13.69%,"1,433.00",5.56,1.25%,817.52,28.81,6.47%,824.42,53.43,3.48%,830.35,16.22,-0.30%
16,Sep-16,"1,557.39",3.21,-1.12%,"4,073.87",2.73,2.30%,"1,443.86",7.25,1.42%,797.85,61.48,3.48%,"1,433.00",5.56,0.00%,849.65,28.81,3.93%,837.21,53.43,1.55%,865.73,16.22,4.26%
16,Oct-16,"1,473.57",3.21,-5.38%,"3,924.43",2.73,-3.67%,"1,331.19",7.25,-7.80%,749.75,61.48,-6.03%,"1,433.00",5.56,0.00%,914.14,28.81,7.59%,861.26,53.43,2.87%,873,16.22,0.84%
16,Nov-16,"1,553.41",3.21,5.42%,"3,928.02",2.73,0.09%,"1,512.95",7.25,13.65%,766.93,61.48,2.29%,"1,433.00",5.56,0.00%,918.26,28.81,0.45%,885.11,53.43,2.77%,873,16.22,0.00%
16,Dec-16,"1,727.14",3.21,11.18%,"3,992.51",2.73,1.64%,"1,666.43",7.25,10.14%,811.38,61.48,5.80%,"1,439.30",5.56,0.44%,930.43,28.81,1.33%,916.7,53.43,3.57%,873,16.22,0.00%
17,Jan-17,"1,818.64",3.32,5.30%,"4,152.22",2.87,4.00%,"1,737.27",7.80,4.25%,825,65.99,1.68%,"1,427.78",5.71,-0.80%,890.82,28.92,-4.26%,876.85,54.41,-4.35%,873,17.46,0.00%
17,Feb-17,"1,688.25",3.32,-7.17%,"4,424.23",2.87,6.55%,"1,566.50",7.80,-9.83%,808.61,65.99,-1.99%,"1,359.90",5.71,-4.75%,874.38,28.92,-1.85%,839.6,54.41,-4.25%,873,17.46,0.00%
17,Mar-17,"1,542.39",3.32,-8.64%,"4,434.15",2.87,0.22%,"1,229.57",7.80,-21.51%,778.7,65.99,-3.70%,"1,398.98",5.71,2.87%,847.32,28.92,-3.09%,814.94,54.41,-2.94%,835.17,17.46,-4.33%
17,Apr-17,"1,589.72",3.32,3.07%,"4,389.46",2.87,-1.01%,"1,085.56",7.80,-11.71%,752.06,65.99,-3.42%,"1,421.40",5.71,1.60%,839.33,28.92,-0.94%,794.04,54.41,-2.56%,797.67,17.46,-4.49%
17,May-17,"1,719.29",3.32,8.15%,"4,635.18",2.87,5.60%,"1,098.57",7.80,1.20%,762.75,65.99,1.42%,"1,453.05",5.71,2.23%,842.05,28.92,0.32%,825.06,54.41,3.91%,795,17.46,-0.33%
17,Jun-17,"1,869.76",3.32,8.75%,"4,632.07",2.87,-0.07%,"1,030.83",7.80,-6.17%,735.14,65.99,-3.62%,"1,463.07",5.71,0.69%,847.47,28.92,0.64%,832.95,54.41,0.96%,794.36,17.46,-0.08%
17,Jul-17,"1,644.05",3.32,-12.07%,"4,686.00",2.87,1.16%,"1,033.57",7.80,0.27%,720.48,65.99,-1.99%,"1,496.94",5.71,2.31%,905.99,28.92,6.91%,835.6,54.41,0.32%,793,17.46,-0.17%
17,Aug-17,"1,845.00",3.32,12.22%,"4,661.51",2.87,-0.52%,"1,174.35",7.80,13.62%,717.95,65.99,-0.35%,"1,510.17",5.71,0.88%,875.36,28.92,-3.38%,861.72,54.41,3.13%,815.74,17.46,2.87%
17,Sep-17,"1,600.95",3.32,-13.23%,"4,614.20",2.87,-1.01%,"1,336.05",7.80,13.77%,755.28,65.99,5.20%,"1,504.65",5.71,-0.37%,872.87,28.92,-0.28%,889.44,54.41,3.22%,822.24,17.46,0.80%
17,Oct-17,"1,484.77",3.32,-7.26%,"4,601.24",2.87,-0.28%,"1,418.86",7.80,6.20%,746.79,65.99,-1.12%,"1,481.11",5.71,-1.56%,897.25,28.92,2.79%,880.6,54.41,-0.99%,804.82,17.46,-2.12%
17,Nov-17,"1,554.32",3.32,4.68%,"4,566.47",2.87,-0.76%,"1,444.77",7.80,1.83%,728.86,65.99,-2.40%,"1,502.29",5.71,1.43%,962.98,28.92,7.33%,886.77,54.41,0.70%,809.86,17.46,0.63%
17,Dec-17,"1,450.66",3.32,-6.67%,"4,560.83",2.87,-0.12%,"1,305.66",7.80,-9.63%,679.17,65.99,-6.82%,"1,510.17",5.71,0.52%,901.97,28.92,-6.34%,867.19,54.41,-2.21%,800.76,17.46,-1.12%
18,Jan-18,"1,393.86",3.43,-3.92%,"4,795.52",2.93,5.15%,"1,265.00",8.24,-3.11%,703.45,70.94,3.57%,"1,433.00",5.92,-5.11%,848.38,28.14,-5.94%,870.5,55.12,0.38%,799.04,18.02,-0.21%
18,Feb-18,"1,244.25",3.43,-10.73%,"4,781.01",2.93,-0.30%,"1,145.38",8.24,-9.46%,709.44,70.94,0.85%,"1,433.00",5.92,0.00%,827.48,28.14,-2.46%,843.56,55.12,-3.09%,806,18.02,0.87%
18,Mar-18,"1,118.63",3.43,-10.10%,"4,394.37",2.93,-8.09%,"1,016.19",8.24,-11.28%,706.19,70.94,-0.46%,"1,435.63",5.92,0.18%,800.24,28.14,-3.29%,836.68,55.12,-0.82%,800.91,18.02,-0.63%
18,Apr-18,"1,131.18",3.43,1.12%,"4,135.67",2.93,-5.89%,"1,006.71",8.24,-0.93%,701.18,70.94,-0.71%,"1,444.03",5.92,0.59%,793.31,28.14,-0.87%,831.85,55.12,-0.58%,799.33,18.02,-0.20%
18,May-18,"1,027.75",3.43,-9.14%,"3,655.73",2.93,-11.60%,935.25,8.24,-7.10%,687.29,70.94,-1.98%,"1,444.03",5.92,0.00%,811.49,28.14,2.29%,793.25,55.12,-4.64%,801.32,18.02,0.25%
18,Jun-18,931.19,3.43,-9.40%,"3,576.39",2.93,-2.17%,865.71,8.24,-7.44%,656.5,70.94,-4.48%,"1,461.87",5.92,1.24%,838.02,28.14,3.27%,788.57,55.12,-0.59%,775,18.02,-3.28%
18,Jul-18,916.25,3.43,-1.60%,"3,676.75",2.93,2.81%,877.16,8.24,1.32%,616.14,70.94,-6.15%,"1,477.10",5.92,1.04%,848.61,28.14,1.26%,780.45,55.12,-1.03%,780.05,18.02,0.65%
18,Aug-18,915.22,3.43,-0.11%,"3,552.95",2.93,-3.37%,900.22,8.24,2.63%,614.1,70.94,-0.33%,"1,477.10",5.92,0.00%,853.67,28.14,0.60%,761.82,55.12,-2.39%,763.23,18.02,-2.16%
18,Sep-18,907.9,3.43,-0.80%,"3,610.16",2.93,1.61%,865.63,8.24,-3.84%,605.15,70.94,-1.46%,"1,442.29",5.92,-2.36%,821.47,28.14,-3.77%,754.05,55.12,-1.02%,733.95,18.02,-3.84%
18,Oct-18,839.54,3.43,-7.53%,"3,491.82",2.93,-3.28%,795.22,8.24,-8.13%,590.32,70.94,-2.45%,"1,433.63",5.92,-0.60%,850.55,28.14,3.54%,752.37,55.12,-0.22%,718.04,18.02,-2.17%
18,Nov-18,786.6,3.43,-6.31%,"3,591.27",2.93,2.85%,707.62,8.24,-11.02%,539.1,70.94,-8.68%,"1,438.26",5.92,0.32%,840.39,28.14,-1.19%,729.22,55.12,-3.08%,706.09,18.02,-1.66%
18,Dec-18,796.27,3.43,1.23%,"3,679.11",2.93,2.45%,738.36,8.24,4.34%,535.02,70.94,-0.76%,"1,434.58",5.92,-0.26%,827.02,28.14,-1.59%,727.88,55.12,-0.18%,703,18.02,-0.44%
19,Jan-19,773.07,3.52,-2.91%,"3,533.61",3.03,-3.95%,765,8.15,3.61%,584.58,71.07,9.26%,"1,379.77",6.22,-3.82%,859.73,28.18,3.96%,747.79,56.97,2.74%,688.13,18.92,-2.12%
19,Feb-19,710.43,3.52,-8.10%,"3,466.16",3.03,-1.91%,694.67,8.15,-9.19%,602.97,71.07,3.15%,"1,370.06",6.22,-0.70%,829.7,28.18,-3.49%,772.82,56.97,3.35%,700,18.92,1.72%
19,Mar-19,678.56,3.52,-4.49%,"3,325.86",3.03,-4.05%,654.72,8.15,-5.75%,573.02,71.07,-4.97%,"1,370.38",6.22,0.02%,808.68,28.18,-2.53%,750.33,56.97,-2.91%,711.71,18.92,1.67%
19,Apr-19,668.63,3.52,-1.46%,"3,243.70",3.03,-2.47%,636.23,8.15,-2.82%,588.45,71.07,2.69%,"1,377.61",6.22,0.53%,805.96,28.18,-0.34%,733.77,56.97,-2.21%,713,18.92,0.18%
19,May-19,661.17,3.52,-1.12%,"3,158.12",3.03,-2.64%,573.36,8.15,-9.88%,563.2,71.07,-4.29%,"1,392.89",6.22,1.11%,815.84,28.18,1.23%,742.53,56.97,1.19%,721.57,18.92,1.20%
19,Jun-19,635.6,3.52,-3.87%,"3,162.49",3.03,0.14%,542.24,8.15,-5.43%,552.19,71.07,-1.95%,"1,391.97",6.22,-0.07%,840.01,28.18,2.96%,742.89,56.97,0.05%,725,18.92,0.48%
19,Jul-19,657.31,3.52,3.42%,"3,181.18",3.03,0.59%,555.03,8.15,2.36%,543.88,71.07,-1.50%,"1,437.71",6.22,3.29%,845.27,28.18,0.63%,748.17,56.97,0.71%,753.83,18.92,3.98%
19,Aug-19,719.28,3.52,9.43%,"3,119.68",3.03,-1.93%,619.33,8.15,11.58%,586.12,71.07,7.77%,"1,457.89",6.22,1.40%,877.48,28.18,3.81%,793.21,56.97,6.02%,776,18.92,2.94%
19,Sep-19,724.03,3.52,0.66%,"3,057.86",3.03,-1.98%,613.15,8.15,-1.00%,580.3,71.07,-0.99%,"1,458.25",6.22,0.02%,903.07,28.18,2.92%,779.25,56.97,-1.76%,776,18.92,0.00%
19,Oct-19,719.52,3.52,-0.62%,"2,979.00",3.03,-2.58%,593.74,8.15,-3.17%,591.35,71.07,1.90%,"1,458.53",6.22,0.02%,908.67,28.18,0.62%,770.8,56.97,-1.08%,776,18.92,0.00%
19,Nov-19,836.29,3.52,16.23%,"2,918.68",3.03,-2.02%,755.76,8.15,27.29%,683.38,71.07,15.56%,"1,388.47",6.22,-4.80%,910.73,28.18,0.23%,774.91,56.97,0.53%,776,18.92,0.00%
19,Dec-19,"1,015.66",3.52,21.45%,"2,849.65",3.03,-2.37%,944.7,8.15,25.00%,769.93,71.07,12.66%,"1,457.89",6.22,5.00%,924.5,28.18,1.51%,820.59,56.97,5.89%,805.16,18.92,3.76%
20,Jan-20,992.66,3.55,-2.26%,"2,687.32",3.07,-5.70%,954.7,8.28,1.06%,834.85,73.12,8.43%,"1,492.61",6.47,2.38%,941.46,28.46,1.83%,873.66,58.42,6.47%,840.33,18.28,4.37%
20,Feb-20,844.12,3.55,-14.96%,"2,737.94",3.07,1.88%,801.84,8.28,-16.01%,728.81,73.12,-12.70%,"1,393.46",6.47,-6.64%,902.34,28.46,-4.16%,800.41,58.42,-8.38%,823,18.28,-2.06%
20,Mar-20,837.72,3.55,-0.76%,"2,796.26",3.07,2.13%,691.04,8.28,-13.82%,636.25,73.12,-12.70%,"1,412.91",6.47,1.40%,796.67,28.46,-11.71%,747.8,58.42,-6.57%,730,18.28,-11.30%
20,Apr-20,834.51,3.55,-0.38%,"2,775.09",3.07,-0.76%,720.69,8.28,4.29%,608.88,73.12,-4.30%,"1,527.27",6.47,8.09%,758.96,28.46,-4.73%,679.98,58.42,-9.07%,732.1,18.28,0.29%
20,May-20,832.33,3.55,-0.26%,"2,754.38",3.07,-0.75%,684.95,8.28,-4.96%,576.56,73.12,-5.31%,"1,588.02",6.47,3.98%,799.83,28.46,5.39%,684.78,58.42,0.71%,738.26,18.28,0.84%
20,Jun-20,916.38,3.55,10.10%,"2,842.24",3.07,3.19%,724.62,8.28,5.79%,656.49,73.12,13.86%,"1,712.82",6.47,7.86%,850.98,28.46,6.40%,755.71,58.42,10.36%,788.36,18.28,6.79%
20,Jul-20,888.31,3.55,-3.06%,"2,868.08",3.07,0.91%,683.93,8.28,-5.62%,694.16,73.12,5.74%,"1,876.87",6.47,9.58%,890.21,28.46,4.61%,821.11,58.42,8.65%,833.17,18.28,5.68%
20,Aug-20,981.3,3.55,10.47%,"2,995.76",3.07,4.45%,739.17,8.28,8.08%,760.3,73.12,9.53%,"1,876.96",6.47,0.00%,921.55,28.46,3.52%,866.94,58.42,5.58%,877.14,18.28,5.28%
20,Sep-20,"1,034.18",3.55,5.39%,"3,094.02",3.07,3.28%,767.84,8.28,3.88%,796.22,73.12,4.72%,"1,880.71",6.47,0.20%,938.14,28.46,1.80%,905.86,58.42,4.49%,"1,041.73",18.28,18.76%
20,Oct-20,"1,118.36",3.55,8.14%,"3,285.64",3.07,6.19%,805.91,8.28,4.96%,819.27,73.12,2.89%,"1,877.59",6.47,-0.17%,927.71,28.46,-1.11%,914.77,58.42,0.98%,"1,040.69",18.28,-0.10%
20,Nov-20,"1,368.95",3.55,22.41%,"1,389.97",3.07,-57.70%,"1,073.48",8.28,33.20%,917.81,73.12,12.03%,"1,878.61",6.47,0.05%,"1,047.78",28.46,12.94%,973.88,58.42,6.46%,"1,176.12",18.28,13.01%
20,Dec-20,"1,464.96",3.55,7.01%,"1,313.41",3.07,-5.51%,"1,224.87",8.28,14.10%,"1,016.37",73.12,10.74%,"1,977.17",6.47,5.25%,"1,097.63",28.46,4.76%,"1,026.20",58.42,5.37%,"1,240.71",18.28,5.49%
21,Jan-21,"1,463.07",3.51,-0.13%,"3,468.29",3.15,164.07%,"1,368.31",8.29,11.71%,990.27,71.12,-2.57%,"1,988.94",6.51,0.60%,"1,141.24",29.44,3.97%,"1,098.67",59.30,7.06%,"1,276.12",17.88,2.85%
21,Feb-21,"1,444.50",3.51,-1.27%,"3,898.12",3.15,12.39%,"1,359.50",8.29,-0.64%,"1,019.86",71.12,2.99%,"1,993.21",6.51,0.21%,"1,272.13",29.44,11.47%,"1,123.50",59.30,2.26%,"1,362.57",17.88,6.77%
21,Mar-21,"1,540.65",3.51,6.66%,"3,933.92",3.15,0.92%,"1,478.59",8.29,8.76%,"1,030.48",71.12,1.04%,"2,006.04",6.51,0.64%,"1,321.88",29.44,3.91%,"1,284.81",59.30,14.36%,"1,611.11",17.88,18.24%
21,Apr-21,"1,659.64",3.51,7.72%,"4,124.21",3.15,4.84%,"1,487.14",8.29,0.58%,"1,078.05",71.12,4.62%,"2,020.64",6.51,0.73%,"1,312.33",29.44,-0.72%,"1,386.35",59.30,7.90%,"1,572.80",17.88,-2.38%
21,May-21,"1,715.24",3.51,3.35%,"4,397.94",3.15,6.64%,"1,530.50",8.29,2.92%,"1,136.46",71.12,5.42%,"2,072.04",6.51,2.54%,"1,531.38",29.44,16.69%,"1,574.67",59.30,13.58%,"1,584.59",17.88,0.75%
21,Jun-21,"1,670.68",3.51,-2.60%,"4,489.52",3.15,2.08%,"1,400.45",8.29,-8.50%,"1,004.42",71.12,-11.62%,"2,078.83",6.51,0.33%,"1,527.59",29.44,-0.25%,"1,518.16",59.30,-3.59%,"1,296.75",17.88,-18.16%
21,Jul-21,"1,584.09",3.51,-5.18%,"4,402.40",3.15,-1.94%,"1,274.09",8.29,-9.02%,"1,062.99",71.12,5.83%,"2,092.19",6.51,0.64%,"1,410.08",29.44,-7.69%,"1,468.34",59.30,-3.28%,"1,282.01",17.88,-1.14%
21,Aug-21,"1,493.64",3.51,-5.71%,"4,383.35",3.15,-0.43%,"1,341.14",8.29,5.26%,"1,141.82",71.12,7.42%,"2,102.29",6.51,0.48%,"1,519.19",29.44,7.74%,"1,433.94",59.30,-2.34%,"1,355.69",17.88,5.75%
21,Sep-21,"1,485.00",3.51,-0.58%,"4,441.54",3.15,1.33%,"1,427.27",8.29,6.42%,"1,181.38",71.12,3.46%,"2,109.02",6.51,0.32%,"1,629.14",29.44,7.24%,"1,398.75",59.30,-2.45%,"1,309.52",17.88,-3.41%
